"can","dep","reg","compct","burcentral","tncc","ncc","nccenr","libelle","typect"
"0101","01","84","1","01004","1",AMBERIEU EN BUGEY,Ambérieu-en-Bugey,Ambérieu-en-Bugey,C
"0102","01","84","1","01024","1",ATTIGNAT,Attignat,Attignat,C
"0103","01","84","1","01033","0",BELLEGARDE SUR VALSERINE,Bellegarde-sur-Valserine,Bellegarde-sur-Valserine,C
"0104","01","84","2","01034","0",BELLEY,Belley,Belley,C
"0105","01","84","2","01053","0",BOURG EN BRESSE 1,Bourg-en-Bresse-1,Bourg-en-Bresse-1,C
"0106","01","84","2","01053","0",BOURG EN BRESSE 2,Bourg-en-Bresse-2,Bourg-en-Bresse-2,C
"0107","01","84","1","01072","0",CEYZERIAT,Ceyzériat,Ceyzériat,C
"0108","01","84","1","01093","0",CHATILLON SUR CHALARONNE,Châtillon-sur-Chalaronne,Châtillon-sur-Chalaronne,C
"0109","01","84","1","01173","0",GEX,Gex,Gex,C
"0110","01","84","1","01185","0",HAUTEVILLE LOMPNES,Hauteville-Lompnes,Hauteville-Lompnes,C
"0111","01","84","2","01202","0",LAGNIEU,Lagnieu,Lagnieu,C
"0112","01","84","1","01244","0",MEXIMIEUX,Meximieux,Meximieux,C
"0113","01","84","1","01249","0",MIRIBEL,Miribel,Miribel,C
"0114","01","84","1","01269","0",NANTUA,Nantua,Nantua,C
"0115","01","84","1","01283","1",OYONNAX,Oyonnax,Oyonnax,C
"0116","01","84","1","01304","0",PONT D AIN,Pont-d'Ain,Pont-d'Ain,C
"0117","01","84","1","01320","0",REPLONGES,Replonges,Replonges,C
"0118","01","84","1","01350","0",SAINT ETIENNE DU BOIS,Saint-Étienne-du-Bois,Saint-Étienne-du-Bois,C
"0119","01","84","1","01354","0",SAINT GENIS POUILLY,Saint-Genis-Pouilly,Saint-Genis-Pouilly,C
"0120","01","84","1","01419","0",THOIRY,Thoiry,Thoiry,C
"0121","01","84","1","01427","0",TREVOUX,Trévoux,Trévoux,C
"0122","01","84","1","01443","0",VILLARS LES DOMBES,Villars-les-Dombes,Villars-les-Dombes,C
"0123","01","84","1","01457","0",VONNAS,Vonnas,Vonnas,C
"0189","01","84",,"01338","0",GROSLEE SAINT BENOIT,Groslée-Saint-Benoit,Groslée-Saint-Benoit,N
"0199","01","84",,"01053","0",BOURG EN BRESSE,Bourg-en-Bresse,Bourg-en-Bresse,V
"0201","02","32","1","02095","0",BOHAIN EN VERMANDOIS,Bohain-en-Vermandois,Bohain-en-Vermandois,C
"0202","02","32","1","02168","0",CHATEAU THIERRY,Château-Thierry,Château-Thierry,C
"0203","02","32","1","02173","0",CHAUNY,Chauny,Chauny,C
"0204","02","32","1","02290","1",ESSOMES SUR MARNE,Essômes-sur-Marne,Essômes-sur-Marne,C
"0205","02","32","1","02305","0",FERE EN TARDENOIS,Fère-en-Tardenois,Fère-en-Tardenois,C
"0206","02","32","1","02360","0",GUIGNICOURT,Guignicourt,Guignicourt,C
"0207","02","32","1","02361","0",GUISE,Guise,Guise,C
"0208","02","32","1","02381","1",HIRSON,Hirson,Hirson,C
"0209","02","32","2","02408","0",LAON 1,Laon-1,Laon-1,C
"0210","02","32","2","02408","0",LAON 2,Laon-2,Laon-2,C
"0211","02","32","1","02468","0",MARLE,Marle,Marle,C
"0212","02","32","1","02648","0",RIBEMONT,Ribemont,Ribemont,C
"0213","02","32","2","02691","0",SAINT QUENTIN 1,Saint-Quentin-1,Saint-Quentin-1,C
"0214","02","32","2","02691","0",SAINT QUENTIN 2,Saint-Quentin-2,Saint-Quentin-2,C
"0215","02","32","2","02691","0",SAINT QUENTIN 3,Saint-Quentin-3,Saint-Quentin-3,C
"0216","02","32","2","02722","0",SOISSONS 1,Soissons-1,Soissons-1,C
"0217","02","32","2","02722","0",SOISSONS 2,Soissons-2,Soissons-2,C
"0218","02","32","1","02738","0",TERGNIER,Tergnier,Tergnier,C
"0219","02","32","1","02789","0",VERVINS,Vervins,Vervins,C
"0220","02","32","1","02795","0",VIC SUR AISNE,Vic-sur-Aisne,Vic-sur-Aisne,C
"0221","02","32","1","02810","0",VILLERS COTTERETS,Villers-Cotterêts,Villers-Cotterêts,C
"0297","02","32",,"02408","0",LAON,Laon,Laon,V
"0298","02","32",,"02691","0",SAINT QUENTIN,Saint-Quentin,Saint-Quentin,V
"0299","02","32",,"02722","0",SOISSONS,Soissons,Soissons,V
"0301","03","84","1","03023","0",BELLERIVE SUR ALLIER,Bellerive-sur-Allier,Bellerive-sur-Allier,C
"0302","03","84","1","03036","0",BOURBON L ARCHAMBAULT,Bourbon-l'Archambault,Bourbon-l'Archambault,C
"0303","03","84","1","03082","0",COMMENTRY,Commentry,Commentry,C
"0304","03","84","1","03095","0",CUSSET,Cusset,Cusset,C
"0305","03","84","1","03102","0",DOMPIERRE SUR BESBRE,Dompierre-sur-Besbre,Dompierre-sur-Besbre,C
"0306","03","84","1","03118","0",GANNAT,Gannat,Gannat,C
"0307","03","84","1","03128","1",HURIEL,Huriel,Huriel,C
